Customer ID,Product ID,Price,Freight Value,Return ID,Return Status,Return Processing Time,Number of Returns,Number of Exchanges,Return Shipping Count,Exchange ID,Exchange Difference Amount
31602bd34088eca0a7371827ab479b92,f69581741831e1dcd24e28e299ad36ff,1098,75.84,eb0a1f3c-d23c-45f9-8180-bc5f87e92276,return,4 days,1,0,1,,0
63eced9d22684a7634b9a451c38d1ee4,ddc1d8513943b57455b160acf77e6507,82.99,34.38,ce68c3d8-9c93-47e1-9b79-cd5ec427ab11,return,6 days,1,0,1,,0
29b179123b9eda65690278842d2c364b,a511bdae1b7671858cdc3398cd601ab1,48.99,19.53,6337d46b-f79f-4f5f-8635-92a831684600,return,4 days,1,0,1,,0
995c8dd1005727eb106998aab214e941,457cd0a99cfa977993e4eb6d98d95abb,29.99,11.85,2fe4720a-eb4f-4677-ba22-0d133da2b1b0,return,5 days,1,0,1,,0
af581263488e6e37a5eecc8323943693,fc5062f483f32b6e7d6e4a38c402d56c,559,4.58,fa2b613b-eb74-4701-9dc3-5f076052fdbd,return,3 days,1,0,1,,0
c8c0c4a2ad083088d8b31da1efdf197f,8273821fd2a32fbbc77ad8b743b2a1b9,89,18.7,70fabf74-02c7-4f10-9473-016406329830,return,7 days,1,0,1,,0
6010e18fb4f51bda7cdf59826fb9157e,8c292ca193d326152e335d77176746f0,150,12.55,09d03fbb-1c0d-4d7e-89df-f0b828fc9a75,return,8 days,1,0,1,,0
1a537f94e57acdda6cfad59696759417,d493f5a208254fe85b3ab55d898461a1,19.49,9.27,173839f0-af7d-426b-b814-fc1b1d470943,return,4 days,1,0,1,,0
32f4f0673547f9e7bef5c7d24d8f3a87,cfde4e468a76bef8d06266c55455e4b9,25,50.85,cc30a155-2d63-4081-bebe-2ea2f8a57048,return,4 days,1,1,1,ex_2158,2.5
4d0f637afbd692c3e9fbffbc338de497,9b4155ed13be02dc3f5c3646218d4f91,61,8.14,2709157e-8f56-4a5b-88b6-92074da0e4b2,return,7 days,1,0,1,,0
3adc4c795d905a8b0b656f1737f0ff45,7a10781637204d8d10485c71a6108a2e,219.9,18.79,fff220de-5872-4f4d-8248-80101e821cb9,return,7 days,1,0,1,,0
ac91b5810b959182a8f4366cef85eb59,9b125b82780e1bbb7716c906ff46f89b,59.9,11.81,9c492ea7-7eb9-44fe-abd8-489a12b50fc0,return,7 days,1,0,1,,0
fa479c8466485b9cb8b97b916885cd56,f2b264b1a4602b87d64eebefc899c1d0,79.99,15.77,c16b93e3-3318-406d-b7c0-7c2ca6013e8b,return,3 days,1,0,1,,0
b2b9d8d0e06e619181a4436475ca7943,00de7f393d962717eeeb2d7131a40dba,97.9,21.49,35a5d6c2-b27b-4913-bcf1-2e885d5a77b9,return,4 days,1,0,1,,0
03d9b0241efc2b1690172701f6800f21,74fc0f00f12925f590846cc41144df80,37.9,12.93,c18b3e7c-b119-4a63-9219-95417f1de00c,return,5 days,1,0,1,,0
731d09efba8a2040506f3097b149c979,0efc91aa52d1f0669126d3000a94279b,109.99,15.88,96077c4c-41a7-4e74-b8e3-63b8156cb948,return,1 days,1,0,1,,0
4406148906c660bd76509cfe3c059b4d,e57eb018e37376580079825eb29a3419,80,21.36,895048cd-a296-4ef1-9bca-6af1a8551dd9,return,1 days,1,0,1,,0
ed3b1288663333783b30c22397f44b36,acc444eb5ad26f79d5a11baa6a03c439,120,23.43,89a31c16-11fd-4a33-ab29-6fc7e50e2a7c,return,5 days,1,0,1,,0
7557d8107d1a5cc575d2e99489f95b45,43423cdffde7fda63d0414ed38c11a73,54.99,22.88,7b751a4a-03c8-40e2-be46-64af6aea5b28,return,4 days,1,0,1,,0
62bd1bdb09eaee292d99c84bb06ad4af,7d4293d63939e17d3b331866cae7735f,19,8.88,268580d1-14d0-4c38-8209-8781a9e60dca,return,3 days,1,0,1,,0
e0e8bc6045cfe08b087197d81196e339,ad53b56bfd80cb8adc160a3deaa239b9,142.99,21.54,78684955-42f1-4ac0-8804-38c09a0f89e5,return,2 days,1,1,1,ex_927,14.299
660a8ca012d4806b05c2a9b705570f62,cc6a0d67ea3d63acca23c81500670843,231.2,61.68,d8f94733-e1a1-4071-9349-4a9ddfd966ef,return,4 days,1,0,1,,0
c290cb2817cca2e8d2656617d17acfad,dfc767a34d7f9f8ee72a3e9b5ed55f89,24.9,8.72,444895c1-4c76-4127-bb0b-d3030927a349,return,6 days,1,0,1,,0
095a4047965f98a409258e1db6c99e79,d1c427060a0f73f6b889a5c7c61f2ac4,119.99,44.64,06279a82-8efd-4064-8645-d3d8cc5ccccf,return,1 days,1,0,1,,0
9fdb1b24653d3cc7364ea12176298def,737b71349729cf37cfd2be8a7bf3b282,257,28.75,e405d1c0-5274-4804-8bd3-60de2ad5f6d2,return,1 days,1,0,1,,0
ccb984d3f0888287bc92e0b18bb9527a,2eb2543712366c95191841792a725a23,49.9,18.45,69030e24-9db8-4a89-933e-19224d3c4ae9,return,5 days,1,1,1,ex_1884,4.99
6a050dd1344ef1381e8be9a8d0565001,fb783e3e545937820b57fe539b2c5a6c,119.9,11.86,9121a9ac-ae0e-49b0-9529-6f2863a78219,return,7 days,1,0,1,,0
fee26dd998861d207782234217b367ec,607ef4aa416b93fdeb2a811c2c73ad81,119.9,20.77,0eed3377-5cd6-4dd7-84b9-da67397e8707,return,5 days,1,1,1,ex_1861,11.99
6f634fcca0b64bdf097263da788326b5,9b5020f2bc3043b993be2559c465e380,120,44.69,3c0df761-1285-495e-87ef-df3a2f308b83,return,9 days,1,0,1,,0
e936ad2dc09aa59fa1d6647ee72f1ead,af51d485dc5255ba2e18b21b550156e6,299.9,42.05,86468b97-c30b-4f2b-8bc8-2674dfd76e8a,return,6 days,1,0,1,,0
ada812c7806382c3085a5f5024bc17ca,a36eaac6306e0910249219f203efc877,22,15.25,36cb4cd6-39a3-404e-b66f-a875119bcf1f,return,4 days,1,0,1,,0
6990a3eca014dfc85d026ccb49b4a9da,2e7c89106453cfffae2446ab3f7c31a5,129.99,18.16,bc340950-6cd2-4c68-920b-59ce1017cefb,return,4 days,1,1,1,ex_763,12.999
28fb72e69040221a2e471a51c251f8da,d9d5e3c7a8d24dfb8968ba75e4313ac3,50.9,13.38,51d0f1bd-0bda-4d5f-8e41-4e2e0a1625b8,return,5 days,1,0,1,,0
481010fdaf8e172cda436faedf27159d,af8033e2e2919480bf64674af8dc453a,12.99,5.18,0a164d31-c85c-4132-8744-b21526ca56bb,return,5 days,1,0,1,,0
0261b9a1fd7da49cec3906e055b2f59d,658c48e890d98bb89d28a9d5e6309676,169,29.46,2cddf769-f8af-4bd9-9f6d-3c80dd906b9a,return,3 days,1,0,1,,0
0e5423b2f5a2083884f519fbd18dd11a,d498e8a880bdf3d26e2b9b3e92c4f424,52.11,10.01,bcf945ff-c1be-4e0e-b840-39cd743fd3e6,return,6 days,1,0,1,,0
a2a701c6f01ddffde8a1bde136ed7d4a,ea4f4b5a820fea007c6c8d7ef9a790bc,45.73,25.63,b28b9cd8-078b-424b-b92c-e8af33697c7e,return,9 days,1,0,1,,0
e1c27845029801e7461bce7d580db092,23905e2fed49239bf63e416ba24bd556,249.99,19.33,c9fd36ce-b6fc-4fd5-abd6-02cd224f4dc8,return,7 days,1,0,1,,0
d8af11fee1f5a13bf7b3584b9cce55fa,837b5c6df9ceb8a9c604e78fde0e60a2,27.9,14.1,fb9b4a8f-518f-4b2e-9314-6860c1f9a7b6,return,9 days,1,0,1,,0
41b57867809d384e30064b7b36656b0e,4052517cac9e78357d895976124f6972,150,13.39,872e269b-c1cb-4f31-9324-f97c6f7c2921,return,8 days,1,0,1,,0
6e8e402e44bcfbea3974580d3f442a33,7bff21aabd6f1c9055ef5c2a262fd62c,30,13.71,a73d4284-bf05-41e2-807d-1bd53a8a66dd,return,5 days,1,0,1,,0
91342c574ec0463ab295f7591d0fc8ac,c19d5ba108c34b8255cf9a524da92bc4,75,12.03,319077e1-f5cb-4002-81fe-3c978840cf08,return,2 days,1,0,1,,0
a660bfa45084c51dc2873306f0c107fb,8de310188938fc8abfe1aa7ee927ccd2,9.99,14.1,6a64f38a-f56f-4260-8e0e-c04122ebebe4,return,8 days,1,0,1,,0
e9a0ea38c9ccce5af1c178330ebdf3b3,df892547f0d5bb0c35cf26abc8e93d8d,60,11.92,3a858acb-36d1-4640-9ec4-a919fedd0696,return,8 days,1,0,1,,0
1c119597703b882a5b24ab9139a9a53a,832b74a0faa3b602a48e0f20990adaf7,110.32,8.03,a6682718-2e16-4c99-a814-a1cf9a484270,return,4 days,1,0,1,,0
a76ada6fa5bcfc4b6225ec88c219ab99,639a641dfdddb9367d030768148076b1,6.5,8.72,771bc5e3-5fe0-4ee2-b629-17c94bf74eb2,return,6 days,1,0,1,,0
ce86f3b70e7bb8cd539eaed55e3553f5,11fd9d7ba552e1d28872e008acf1e050,109.9,14.11,9cac2111-62e3-453d-a82b-f22426e7c7a9,return,8 days,1,0,1,,0
fa9b87fd80f047ab5016c45aa05fd748,4b6b3a7072d549354c3743dedbf4170a,55,18.49,30d7cea3-afe2-46cb-a7e0-ca9cf4bea24e,return,1 days,1,0,1,,0
42d34c5b74d78872ef8ce334bf839627,3dd2a17168ec895c781a9191c1e95ad7,149.9,53.18,3fb6dde9-e22d-4855-91ed-8fc95152d3b4,return,8 days,1,0,1,,0
37872280df31defa5a1f4ff1f120fd8e,3d36ef6c6d553500f4240920658689e3,249.9,15.14,2930a393-ae98-447d-9e59-3059879bae15,return,4 days,1,0,1,,0
be7cd2ed9b40294805a5db0da7b36af8,97462c7ce5f69a26ace2c3c5da81a86b,118.9,8.58,0c3953f8-6581-42d4-8052-fdb37eb24001,return,6 days,1,0,1,,0
e913fc58681b70f1a0fd48176d9b0763,8f81f9f8a5ad7f2c892d07b91b9c2607,367.9,126.78,d14df18f-f268-4986-97af-d616934969c8,return,5 days,1,0,1,,0
50aa38855e4ae4229ff0897c6ce7511d,5994a2fdff4b0f9ca4376c4226adb442,129.97,25.73,4ddfba76-b8b0-431b-88a5-fb0c3f708ee6,return,5 days,1,0,1,,0
e35a9e312880dfa98135b6a97237b272,39ec33e08b0f9ffb9767b819f8588361,34.7,29.76,dfd4176f-ff90-431f-be10-57a1ca09c65e,return,5 days,1,0,1,,0
02440f65dc09737b491463739c347446,c7b3b8509e06ae21abdd78b541215cda,119.9,15.59,a0e041b7-bae2-4fb7-b4b8-8ff8ad52aa0b,return,8 days,1,0,1,,0
34cb7aea9fb1df274bca0a4ade9c4f05,99a4788cb24856965c36a24e339b6058,89.9,12.13,c3be51ed-f6c8-4501-9b79-b060ce1452f0,return,1 days,1,0,1,,0
812114e24682287b1f3eb86f112707de,06bf70b6e1d67d96308235ef350edc61,79.9,15.32,984f5f86-ecaf-45c2-a0eb-7f8d57889c6d,return,7 days,1,0,1,,0
424fede77e7b571eca6ff46a2276f8af,c201a862c6018d402222594d5229c613,117.99,9.64,c340392b-4de0-4a89-8b43-b4d7cc53d4bf,return,4 days,1,0,1,,0
ccb8b4e769ca2b38efbde774aaacc166,f4f67ccaece962d013a4e1d7dc3a61f7,241.1,22.7,39a83b4a-b85c-4aa5-a283-44078aef23ac,return,3 days,1,0,1,,0
99a9646b3ae55969f333cc36747297fe,09278667a33779be5996a7df729db8ae,204.5,15.73,cc169f15-86e2-4092-b145-f3b308b0dc23,return,1 days,1,1,1,ex_322,20.45
5fdd5b25e739dbf9a0a25e518836420b,fc6b299cf83fa76632dd1b0a2c611f33,23.99,12.83,b59af426-6a85-4bcc-95f5-b55619d3fb18,return,4 days,1,0,1,,0
7ecd374aaadf068b768dd0552a8b5b0d,907c84d5b8961d53ba1b803638fffcad,180,20.23,1632efe0-53dc-4226-9b2f-2e8005613186,return,3 days,1,0,1,,0
a0efa566fd16e01fa172403fa5d645d8,1a4eccba16567c9ffa6e98d0f552a883,145,26.29,205ae70b-785f-4fbb-adbb-304993e1256a,return,7 days,1,0,1,,0
f0dd977ce2e419e687ed90ee8439b163,7614c62b86a81021243e438cfde78ccc,503.34,25.53,5560b66e-3381-49e8-9e7a-c20a78084a38,return,1 days,1,0,1,,0
0cb752bde20054fcde65c16163ab64b9,1961b9b9aa8a6aa6fce7ab329c05fa9b,105,12.23,8f46cd63-af30-4dfe-9cbd-05d51b7f43dc,return,4 days,1,0,1,,0
c5d3cee440eb83e631a641c4da2ef16f,9b89ab91efbb4750c39864ed0262711f,39.9,22.95,1457bd23-c926-43e5-85a4-24079a91f630,return,1 days,1,0,1,,0
d2fee637306555bfacf7b885044cbaff,568c923625669145cc9a644856fccd14,229.9,18.32,f1110491-b1f4-4f6f-9c6c-336f24da8eb0,return,3 days,1,0,1,,0
f060d1eeb07c0294f897df1ff19d4b99,e94df75b2e9a8b056be0c144a731f55c,94.9,23.81,6f6ff4ee-773e-428c-96f1-50cbf0d59220,return,1 days,1,0,1,,0
599b4f476f3590d89be00a727812d390,990ddab43ee46a1a76436796f92470d4,119.2,18.4,08cb76e6-e1f6-4afa-a78f-6a3dc0a62173,return,6 days,1,0,1,,0
7f3dea4e160ba52140314c22ca67f1b3,c1f5307decb89342351bec53668cffd9,29.99,18.23,2e012a42-1b16-4715-b37c-15d43988e5f8,return,8 days,1,1,1,ex_1182,2.999
7ff0a233ca71abe5b19f93af5b8f3440,9ae571ce02784cd1dd2e3923fa636058,126,77.9,f72323c6-eda4-45dc-9422-db15c8bc2d9d,return,2 days,1,0,1,,0
3d1015779173f2ac043082581b12e826,91b08d34d0ba4db44da2dc382867ba49,10.99,15.1,11224663-9cae-4ff7-814c-f8e30abcf39d,return,1 days,1,0,1,,0
5b97c7d7c0c336bb0d56b9a367fa53d0,d07cd460b9d3556ab8b59d0ab7163a0c,39,7.78,169fd7a1-dd80-43fe-a85c-09fbcbe74b84,return,6 days,1,0,1,,0
cb8fb99234763886ee0253fd8fcd3d18,d6286b24db0db6d5cde06cb31e5b74d4,324.3,33.02,e8c6291e-845c-416a-a935-3cd9690cdbc5,return,7 days,1,0,1,,0
f8822b6085858dd513bb20e7e0c88e83,4858799008e3cd4fcab9c61fbc63a2a0,40.9,12.79,d8049b9e-16d8-415a-ace4-4c6b1962b6ff,return,4 days,1,0,1,,0
8ee4b4546da4178fb73e677c628a74b9,d00f6c52d2730de05fb409f09ab6e732,34.9,20.84,a1dad35d-7050-497b-96d2-e8a52c6e0087,return,3 days,1,0,1,,0
68986e4324f6a21481df4e6e89abcf01,d1c427060a0f73f6b889a5c7c61f2ac4,139.99,77.6,4d1453c0-5085-445d-bf23-c474cfaa5c7f,return,2 days,1,0,1,,0
43542fbe2e7b735e5db10cb3588d63d0,6a8631b72a2f8729b91514db87e771c0,25.9,15.1,60391dae-7967-4156-9a73-cf4e0fce34bb,return,8 days,1,0,1,,0
c9fec30469cd7bb3784574c3200b828f,d06a11f0dc564e8f89ca5593252679b7,1029,39.5,54af977d-7529-4f4a-bfc0-1e87eff71ff7,return,6 days,1,0,1,,0
e12d873b226207d68d316a6bcf65123f,114f462f985151e853a896d958657416,31,14.1,a023f225-b887-404e-9f6c-8c198bdf6ae5,return,7 days,1,0,1,,0
09ba762d7b29d3771a788d7d039159fa,a7566c5565bf286a5c8fb48387d97bb8,289.9,17.73,a0c443bd-c616-4c31-9338-2f74f5b5e712,return,7 days,1,0,1,,0
33964439e94ceb7523367db344eb3dba,9257d3f01cd400076c63470f92434c7e,34.9,18.23,3bc46207-dfa9-4f64-b751-d3174e67b380,return,8 days,1,0,1,,0
a7d73128b7dc2644c342e7495ebe8e3f,f819f0c84a64f02d3a5606ca95edd272,600,22.08,769a245c-df7b-4796-b41d-17fcb97bfe51,return,2 days,1,0,1,,0
f9651b358b6d207c7bd6c83078948f27,d381a801331f62e294893c46ce121fc8,298,17.79,5422a93e-b76d-46ce-8c00-420b52a96643,return,8 days,1,0,1,,0
012b3f6ab7776a8ab3443a4ad7bef2e6,422879e10f46682990de24d770e7f83d,53.9,0,89ed54b1-1a5c-4fce-8af8-e164a8577b3c,return,7 days,1,0,1,,0
ba74aa11850c74f4e5f8669502a9b569,15964f2421f68d33a3f74b037ebf8822,44.99,8.64,346983b7-f9c2-4b1a-881a-080473fa3bd8,return,7 days,1,0,1,,0
4cc0192e89c70ee61b2c1cd8ae665a5f,9db568ce8bf5e2e652d9f70edd5a0712,194,66.17,04a09c97-66ef-4f70-9f67-d9deaaa6adca,return,9 days,1,0,1,,0
d3b7594cc1a07125979df784dbec5c5e,1cf4209f5358de32c5cae2c2dbb84aed,39.9,7.54,dc877805-e1fd-4f69-a65e-a162b8ccafe4,return,4 days,1,0,1,,0
3303a91e8a879bd0c64fe750485298b0,76b8dd5ed5596a060e722e0032d2d9da,69.9,18.06,d86feeda-89d3-4e67-a0b6-47a0dceee47b,return,9 days,1,0,1,,0
973acb049a8228a556877e26fb30c06a,24bf010d82955430eeea5ed7643711c7,999.99,293.27,85e4a2e0-5e8f-4e21-94aa-63f0bce838e4,return,3 days,1,0,1,,0
4208d8402138f772f9c189a1859e1f55,1528d0673079ce2d79d29753b800d76e,59.9,13.44,45c965a2-026b-4739-b9fb-2c3f17c31f2e,return,8 days,1,1,1,ex_1165,5.99
4f8c25939ba36d08d148252e8b3846f1,e03102efbc2229024c89be731f0aedcb,39.9,22.67,d66719a1-143f-430f-a1e6-358740c1747e,return,3 days,1,0,1,,0
