Customer ID,Product ID,Price,Freight Value,Return Status,Return Processing Time,Number of Returns,Number of Exchanges,Return Shipping Count,Exchange ID,Exchange Difference Amount,Order ID
c557c88c4ec1f4c74389e95230d73f3e,f69581741831e1dcd24e28e299ad36ff,1098,75.84,return,4 days,1,0,1,,0,5536d8682e25ee3f39ed444105996fee
dd33e159dda0ff53ee235f422a5db59c,ddc1d8513943b57455b160acf77e6507,82.99,34.38,return,6 days,1,0,1,,0,f2cc9d063beb0b42924df2341183e910
3a2af15ae9018db6233faf0b8080bffc,a511bdae1b7671858cdc3398cd601ab1,48.99,19.53,return,4 days,1,0,1,,0,923edd16abada2893b886d3757c73ffa
7dcdb53542ddb1cb3e2107e01c545c8a,457cd0a99cfa977993e4eb6d98d95abb,29.99,11.85,return,5 days,1,0,1,,0,01ccfbb0ddf88340b6eed3f1370bcf0c
9a0b662a360c79f2dc50396f6041c1e5,fc5062f483f32b6e7d6e4a38c402d56c,559,4.58,return,3 days,1,0,1,,0,c1631d116303f21075fc2d55b4c6e7b0
ec428d23b2452cd2bd3daba88b977361,8273821fd2a32fbbc77ad8b743b2a1b9,89,18.7,return,7 days,1,0,1,,0,8d97dfb850543060acf6f461bf37533b
8718c2cf3a7b3fe07d6696c366c0d666,8c292ca193d326152e335d77176746f0,150,12.55,return,8 days,1,0,1,,0,f0eaecfa7f4a74e4227e177eb23ed299
027e8c3fbdb7694e9b0824865a13388f,d493f5a208254fe85b3ab55d898461a1,19.49,9.27,return,4 days,1,0,1,,0,069b0c9fca582b429e998f512a4c898f
ca08ac90cf5b8ff42d87a9d754c2374b,cfde4e468a76bef8d06266c55455e4b9,25,50.85,return,4 days,1,1,1,ex_2158,2.5,e94d8ace7446337ba22419b2218a8303
cfdcfdbed5ae9cc38b954b2c5e40e6f3,9b4155ed13be02dc3f5c3646218d4f91,61,8.14,return,7 days,1,0,1,,0,682d2a1eb8b2676fc3337cf90c96ca8b
53ef809f78767b14e4f1a711a1b13d0e,7a10781637204d8d10485c71a6108a2e,219.9,18.79,return,7 days,1,0,1,,0,10d9e0700d28a9c502e7d81473bb2224
3d03918967b32805b683d795b94763d3,9b125b82780e1bbb7716c906ff46f89b,59.9,11.81,return,7 days,1,0,1,,0,b74d9d05094d192b78eec20610faec65
